frame,left_hand,right_hand,left_bbox,right_bbox
frame_000001,"[(446.80308532714844, 694.0795593261719), (446.2560729980469, 698.1964721679688), (446.99391174316406, 702.1063842773438), (446.77186584472656, 705.5191955566406), (445.79490661621094, 708.7904052734375), (445.79490661621094, 708.7904052734375), (445.1593780517578, 711.9533996582031), (444.24131774902344, 714.5576477050781), (443.21990966796875, 716.8353881835938), (440.65318298339844, 719.4744262695312)]","[(653.8692932128906, 701.1838684082031), (653.0919494628906, 704.7311401367188), (653.7183227539062, 708.3252563476562), (653.3196716308594, 711.1724548339844), (652.259033203125, 714.101806640625), (652.259033203125, 714.101806640625), (650.7275085449219, 717.3827514648438), (650.5247497558594, 719.2697143554688), (650.4474792480469, 720.7453002929688), (647.9303588867188, 722.8024597167969)]","[(350.1600646972656, 564.9680786132812, 193.28604125976562, 258.22296142578125), (349.578857421875, 568.92578125, 193.35443115234375, 258.5413818359375), (350.0332946777344, 572.2655639648438, 193.92123413085938, 259.681640625), (349.4212341308594, 575.5020751953125, 194.70126342773438, 260.03424072265625), (348.5238952636719, 578.4859008789062, 194.54202270507812, 260.6090087890625), (348.5238952636719, 578.4859008789062, 194.54202270507812, 260.6090087890625), (347.8622131347656, 581.6532592773438, 194.59432983398438, 260.60028076171875), (346.9450988769531, 583.7761840820312, 194.59243774414062, 261.56292724609375), (344.08514404296875, 585.6468505859375, 198.26953125, 262.3770751953125), (341.7768859863281, 588.0886840820312, 197.75259399414062, 262.771484375)]","[(544.0762329101562, 560.9588623046875, 219.58612060546875, 280.45001220703125), (543.0712890625, 564.2993774414062, 220.04132080078125, 280.863525390625), (543.1305541992188, 567.4246826171875, 221.175537109375, 281.8011474609375), (542.5284423828125, 570.2037963867188, 221.58245849609375, 281.93731689453125), (541.0921630859375, 572.7042846679688, 222.333740234375, 282.7950439453125), (541.0921630859375, 572.7042846679688, 222.333740234375, 282.7950439453125), (540.1373291015625, 576.3185424804688, 221.18035888671875, 282.12841796875), (538.6425170898438, 577.328369140625, 223.76446533203125, 283.8826904296875), (536.6412353515625, 578.5504760742188, 227.61248779296875, 284.3896484375), (533.7534790039062, 580.2119140625, 228.353759765625, 285.18109130859375)]"
frame_000002,"[(447.09027099609375, 695.1612243652344), (445.79393005371094, 698.6527099609375), (444.5111083984375, 701.542724609375), (446.54673767089844, 705.41455078125), (446.54673767089844, 705.41455078125), (445.5952453613281, 708.1393127441406), (444.11376953125, 711.4040222167969), (442.0940856933594, 713.8368225097656), (437.7595977783203, 715.9934997558594), (439.1053009033203, 718.4501953125)]","[(653.1124572753906, 703.66015625), (651.1648864746094, 706.5936889648438), (647.5801086425781, 708.5070495605469), (651.9347229003906, 712.4535217285156), (651.9347229003906, 712.4535217285156), (651.08447265625, 714.6212768554688), (649.0436706542969, 717.81884765625), (647.0267639160156, 719.4747009277344), (642.5569152832031, 720.9072875976562), (644.9717712402344, 722.6668395996094)]","[(348.368408203125, 563.8342895507812, 197.4437255859375, 262.65386962890625), (347.5253601074219, 567.290771484375, 196.53713989257812, 262.723876953125), (346.9700927734375, 570.6488037109375, 195.08203125, 261.787841796875), (346.9626770019531, 573.6245727539062, 199.16812133789062, 263.5799560546875), (346.9626770019531, 573.6245727539062, 199.16812133789062, 263.5799560546875), (346.171875, 576.0188598632812, 198.84674072265625, 264.24090576171875), (344.65826416015625, 579.2880249023438, 198.9110107421875, 264.23199462890625), (342.6143798828125, 581.1051635742188, 198.95941162109375, 265.46331787109375), (338.4479675292969, 584.07177734375, 198.62326049804688, 263.84344482421875), (337.6316833496094, 585.1307983398438, 202.94723510742188, 266.6387939453125)]","[(545.0645141601562, 566.2645874023438, 216.09588623046875, 274.7911376953125), (543.593505859375, 569.0426635742188, 215.14276123046875, 275.10205078125), (541.7852172851562, 571.9395141601562, 211.58978271484375, 273.13507080078125), (543.0227661132812, 574.7955932617188, 217.82391357421875, 275.31585693359375), (543.0227661132812, 574.7955932617188, 217.82391357421875, 275.31585693359375), (541.8759155273438, 576.5425415039062, 218.4171142578125, 276.157470703125), (539.7980346679688, 579.7745361328125, 218.49127197265625, 276.088623046875), (537.47021484375, 580.8173828125, 219.11309814453125, 277.31463623046875), (533.7869873046875, 582.92236328125, 217.53985595703125, 275.9698486328125), (532.9261474609375, 583.4227905273438, 224.09124755859375, 278.48809814453125)]"
frame_000003,"[(445.82257080078125, 697.5118713378906), (445.1820068359375, 700.9662780761719), (445.36647033691406, 704.0173950195312), (445.36647033691406, 704.0173950195312), (444.6333312988281, 707.0821228027344), (444.03997802734375, 709.8551940917969), (442.07887268066406, 712.5973205566406), (439.67198181152344, 714.4077453613281), (435.2289581298828, 717.39892578125), (435.2289581298828, 717.39892578125)]","[(649.5552673339844, 705.124267578125), (648.9823608398438, 708.3248596191406), (648.6502380371094, 710.5617065429688), (648.6502380371094, 710.5617065429688), (647.8719787597656, 713.2994689941406), (647.5065612792969, 715.5214538574219), (645.1666564941406, 718.1635131835938), (643.2353515625, 718.4386291503906), (638.3963928222656, 721.4675903320312), (638.3963928222656, 721.4675903320312)]","[(343.2764892578125, 561.4057006835938, 205.0921630859375, 272.21234130859375), (342.2607421875, 564.6587524414062, 205.842529296875, 272.61505126953125), (342.5923767089844, 567.43115234375, 205.54818725585938, 273.1724853515625), (342.5923767089844, 567.43115234375, 205.54818725585938, 273.1724853515625), (341.6302490234375, 570.3346557617188, 206.00616455078125, 273.49493408203125), (340.46331787109375, 572.853759765625, 207.1533203125, 274.00286865234375), (338.6549377441406, 574.5211181640625, 206.84786987304688, 276.15240478515625), (335.0788879394531, 576.7161254882812, 209.18618774414062, 275.38323974609375), (331.6364440917969, 580.1734008789062, 207.18502807617188, 274.4510498046875), (331.6364440917969, 580.1734008789062, 207.18502807617188, 274.4510498046875)]","[(541.802001953125, 567.9827880859375, 215.50653076171875, 274.282958984375), (540.3629760742188, 570.8397827148438, 217.23876953125, 274.97015380859375), (540.5147705078125, 573.0465698242188, 216.27093505859375, 275.0302734375), (540.5147705078125, 573.0465698242188, 216.27093505859375, 275.0302734375), (539.3455200195312, 575.62890625, 217.05291748046875, 275.34112548828125), (538.2163696289062, 577.62841796875, 218.58038330078125, 275.78607177734375), (536.1450805664062, 579.3980102539062, 218.04315185546875, 277.531005859375), (532.7564697265625, 579.9822387695312, 220.957763671875, 276.91278076171875), (529.108642578125, 583.1295166015625, 218.57550048828125, 276.6761474609375), (529.108642578125, 583.1295166015625, 218.57550048828125, 276.6761474609375)]"
frame_000004,"[(443.3429718017578, 701.0256958007812), (443.4540557861328, 704.3482055664062), (443.4540557861328, 704.3482055664062), (442.8095703125, 707.4331665039062), (441.55653381347656, 710.55322265625), (439.8070068359375, 712.9131774902344), (435.8999328613281, 714.997802734375), (435.6644287109375, 718.4364929199219), (435.6644287109375, 718.4364929199219), (434.2386779785156, 720.319580078125)]","[(647.9719848632812, 706.7588806152344), (648.02392578125, 709.4524230957031), (648.02392578125, 709.4524230957031), (647.1216430664062, 712.2388610839844), (646.7814636230469, 715.2773742675781), (644.3702087402344, 716.6093139648438), (640.0074157714844, 717.9455871582031), (640.1251831054688, 720.5444946289062), (640.1251831054688, 720.5444946289062), (639.0447692871094, 722.1470642089844)]","[(340.8533020019531, 564.7239379882812, 204.97933959960938, 272.603515625), (340.7318420410156, 568.0076293945312, 205.44442749023438, 272.68115234375), (340.7318420410156, 568.0076293945312, 205.44442749023438, 272.68115234375), (340.0689697265625, 570.8505249023438, 205.481201171875, 273.165283203125), (337.9892272949219, 573.7001953125, 207.13461303710938, 273.7060546875), (336.07659912109375, 575.7509765625, 207.4608154296875, 274.32440185546875), (332.72540283203125, 578.4357299804688, 206.34906005859375, 273.1241455078125), (331.24609375, 580.0667114257812, 208.836669921875, 276.73956298828125), (331.24609375, 580.0667114257812, 208.836669921875, 276.73956298828125), (328.78387451171875, 582.1414794921875, 210.90960693359375, 276.356201171875)]","[(540.5429077148438, 569.3794555664062, 214.858154296875, 274.75885009765625), (540.0071411132812, 572.1373901367188, 216.0335693359375, 274.63006591796875), (540.0071411132812, 572.1373901367188, 216.0335693359375, 274.63006591796875), (539.0455932617188, 574.7359619140625, 216.152099609375, 275.00579833984375), (536.8966674804688, 577.2147827148438, 219.76959228515625, 276.12518310546875), (534.8482666015625, 578.5540161132812, 219.04388427734375, 276.110595703125), (531.533203125, 580.41650390625, 216.94842529296875, 275.05816650390625), (529.8525390625, 581.47216796875, 220.5452880859375, 278.1446533203125), (529.8525390625, 581.47216796875, 220.5452880859375, 278.1446533203125), (527.5137939453125, 583.2254638671875, 223.06195068359375, 277.84320068359375)]"
frame_000005,"[(441.28790283203125, 704.4379577636719), (441.28790283203125, 704.4379577636719), (441.198974609375, 707.6233825683594), (440.19728088378906, 710.5671081542969), (437.4037322998047, 713.0122985839844), (435.7207489013672, 715.6011657714844), (433.9975128173828, 718.06005859375), (433.9975128173828, 718.06005859375), (432.2364196777344, 720.367431640625), (431.3839874267578, 722.8683166503906)]","[(645.1785888671875, 708.0060119628906), (645.1785888671875, 708.0060119628906), (645.1094055175781, 710.9126281738281), (644.098876953125, 713.4412231445312), (640.7626647949219, 715.1967468261719), (639.3672180175781, 717.0013427734375), (637.97119140625, 718.9356689453125), (637.97119140625, 718.9356689453125), (636.2849731445312, 720.7262268066406), (635.502197265625, 722.4381713867188)]","[(340.58270263671875, 570.8555908203125, 201.410400390625, 267.16473388671875), (340.58270263671875, 570.8555908203125, 201.410400390625, 267.16473388671875), (340.31842041015625, 573.6658935546875, 201.7611083984375, 267.91497802734375), (339.0995788574219, 576.447998046875, 202.19540405273438, 268.23822021484375), (336.3648376464844, 578.9053955078125, 202.07778930664062, 268.21380615234375), (333.8757019042969, 580.6827392578125, 203.69009399414062, 269.83685302734375), (331.5662536621094, 582.8250122070312, 204.86251831054688, 270.4700927734375), (331.5662536621094, 582.8250122070312, 204.86251831054688, 270.4700927734375), (329.28753662109375, 585.0223999023438, 205.89776611328125, 270.6900634765625), (327.7223815917969, 587.1787719726562, 207.32321166992188, 271.37908935546875)]","[(535.2215576171875, 568.3640747070312, 219.9140625, 279.28387451171875), (535.2215576171875, 568.3640747070312, 219.9140625, 279.28387451171875), (534.7518310546875, 570.9273681640625, 220.71514892578125, 279.97052001953125), (533.2942504882812, 573.2875366210938, 221.6092529296875, 280.307373046875), (530.3593139648438, 575.1448364257812, 220.80670166015625, 280.10382080078125), (527.8076171875, 576.2341918945312, 223.11920166015625, 281.5343017578125), (525.5867919921875, 577.8184814453125, 224.768798828125, 282.234375), (525.5867919921875, 577.8184814453125, 224.768798828125, 282.234375), (523.2835693359375, 579.48046875, 226.0028076171875, 282.49151611328125), (521.894287109375, 581.0325927734375, 227.2158203125, 282.8111572265625)]"
frame_000006,"[(438.5, 701.5), (437.19837951660156, 704.33837890625), (436.7690887451172, 707.4317321777344), (434.1694793701172, 709.7997436523438), (431.8342742919922, 712.0878295898438), (430.4036102294922, 714.7549133300781), (430.4036102294922, 714.7549133300781), (428.95677185058594, 717.1499328613281), (427.90687561035156, 719.6812744140625), (427.4424591064453, 722.3566589355469)]","[(643.5, 706.5), (642.1047668457031, 709.0455017089844), (641.5973815917969, 711.7567443847656), (637.9036560058594, 713.1856384277344), (635.7064208984375, 714.6414794921875), (634.8585205078125, 716.8349914550781), (634.8585205078125, 716.8349914550781), (633.363037109375, 718.6770629882812), (633.2738647460938, 720.658203125), (632.52001953125, 722.5475158691406)]","[(338.0, 568.0, 201.0, 267.0), (336.6929016113281, 570.5567016601562, 201.01095581054688, 267.5633544921875), (335.8830871582031, 573.5143432617188, 201.77200317382812, 267.83477783203125), (333.5569763183594, 575.8346557617188, 201.22500610351562, 267.93017578125), (330.7359313964844, 577.7531127929688, 202.19668579101562, 268.66943359375), (328.4583435058594, 579.8873901367188, 203.89053344726562, 269.73504638671875), (328.4583435058594, 579.8873901367188, 203.89053344726562, 269.73504638671875), (326.8969421386719, 581.8099975585938, 204.11965942382812, 270.67987060546875), (324.3393859863281, 583.8643798828125, 207.13497924804688, 271.6337890625), (323.9002380371094, 585.9863891601562, 207.08444213867188, 272.74053955078125)]","[(534.0, 567.0, 219.0, 279.0), (532.4481201171875, 569.2278442382812, 219.31329345703125, 279.63531494140625), (531.3131103515625, 571.8359375, 220.56854248046875, 279.84161376953125), (528.5532836914062, 573.5196533203125, 218.70074462890625, 279.33197021484375), (525.671630859375, 574.6311645507812, 220.069580078125, 280.0206298828125), (523.5079345703125, 576.2191772460938, 222.701171875, 281.23162841796875), (523.5079345703125, 576.2191772460938, 222.701171875, 281.23162841796875), (521.6932373046875, 577.5960693359375, 223.339599609375, 282.1619873046875), (519.52001953125, 578.9711303710938, 227.5076904296875, 283.3741455078125), (519.0313720703125, 580.5158081054688, 226.977294921875, 284.06341552734375)]"
frame_000007,"[(434.1980285644531, 704.8375549316406), (433.7655334472656, 707.9307861328125), (431.1813507080078, 710.3080749511719), (428.84059143066406, 712.6007690429688), (427.3979797363281, 715.2680969238281), (427.3979797363281, 715.2680969238281), (425.947509765625, 717.6651306152344), (424.8831329345703, 720.1990966796875), (424.4181213378906, 722.8789672851562), (423.4517364501953, 725.9227600097656)]","[(638.1108093261719, 710.0526733398438), (637.6097412109375, 712.7708740234375), (633.9449157714844, 714.212646484375), (631.7522277832031, 715.6842956542969), (630.900390625, 717.8900756835938), (630.900390625, 717.8900756835938), (629.4102478027344, 719.7445983886719), (629.3122863769531, 721.7391357421875), (628.5711975097656, 723.6436767578125), (627.9935607910156, 726.2703552246094)]","[(335.69451904296875, 573.5602416992188, 197.00701904296875, 262.55462646484375), (334.89111328125, 576.5186767578125, 197.74884033203125, 262.82421875), (332.5667419433594, 578.8452758789062, 197.22921752929688, 262.92559814453125), (329.7512512207031, 580.7733764648438, 198.17868041992188, 263.65478515625), (327.48291015625, 582.9168701171875, 199.83013916015625, 264.70245361328125), (327.48291015625, 582.9168701171875, 199.83013916015625, 264.70245361328125), (325.92230224609375, 584.8486938476562, 200.0504150390625, 265.63287353515625), (323.3849182128906, 586.9147338867188, 202.99642944335938, 266.5687255859375), (322.94140625, 589.0474243164062, 202.95343017578125, 267.6630859375), (321.2176208496094, 591.8674926757812, 204.46823120117188, 268.11053466796875)]","[(528.4583129882812, 570.2326049804688, 219.30499267578125, 279.64013671875), (527.3309936523438, 572.8443603515625, 220.5574951171875, 279.85302734375), (524.5883178710938, 574.53466796875, 218.71319580078125, 279.35595703125), (521.7133178710938, 575.6575927734375, 220.07781982421875, 280.05340576171875), (519.5521850585938, 577.2546997070312, 222.6964111328125, 281.270751953125), (519.5521850585938, 577.2546997070312, 222.6964111328125, 281.270751953125), (517.7454833984375, 578.6401977539062, 223.32952880859375, 282.20880126953125), (515.5713500976562, 580.027099609375, 227.48187255859375, 283.424072265625), (515.090087890625, 581.5795288085938, 226.96221923828125, 284.1282958984375), (513.6243896484375, 583.9832153320312, 228.73834228515625, 284.57427978515625)]"
frame_000008,"[(430.57373046875, 706.4858703613281), (428.75128173828125, 709.0666809082031), (426.3186492919922, 711.4334716796875), (424.6514587402344, 713.9929504394531), (424.6514587402344, 713.9929504394531), (423.95045471191406, 716.3283386230469), (422.2878875732422, 719.0103454589844), (420.36155700683594, 721.3232727050781), (419.06471252441406, 724.6851196289062), (419.2617950439453, 727.8522033691406)]","[(632.426025390625, 711.1087036132812), (630.6203308105469, 713.0494079589844), (628.3835754394531, 714.7712097167969), (626.0840759277344, 716.9715881347656), (626.0840759277344, 716.9715881347656), (625.9096374511719, 719.0879516601562), (625.3286437988281, 720.5119934082031), (621.4667663574219, 721.7272033691406), (620.6940307617188, 724.6437377929688), (620.9618988037109, 727.3910827636719)]","[(333.96929931640625, 577.7445068359375, 193.2088623046875, 257.48272705078125), (331.62542724609375, 579.8018188476562, 194.251708984375, 258.52972412109375), (328.4429016113281, 581.8610229492188, 195.75149536132812, 259.1448974609375), (327.04302978515625, 583.8712158203125, 195.21685791015625, 260.24346923828125), (327.04302978515625, 583.8712158203125, 195.21685791015625, 260.24346923828125), (325.7772521972656, 585.1182250976562, 196.34640502929688, 262.42022705078125), (322.5643005371094, 588.1895751953125, 199.44717407226562, 261.64154052734375), (321.8525695800781, 590.795654296875, 197.01797485351562, 261.05523681640625), (319.9292297363281, 593.6853637695312, 198.27096557617188, 261.99951171875), (319.5551452636719, 595.88671875, 199.41329956054688, 263.93096923828125)]","[(522.7098388671875, 571.3971557617188, 219.432373046875, 279.423095703125), (520.4696044921875, 572.9376220703125, 220.30145263671875, 280.22357177734375), (517.4746704101562, 574.4434204101562, 221.81781005859375, 280.65557861328125), (515.5076293945312, 576.1725463867188, 221.15289306640625, 281.59808349609375), (515.5076293945312, 576.1725463867188, 221.15289306640625, 281.59808349609375), (514.5322265625, 577.2294311523438, 222.75482177734375, 283.717041015625), (511.3778076171875, 578.7439575195312, 227.90167236328125, 283.53607177734375), (510.2900390625, 580.7203979492188, 222.35345458984375, 282.01361083984375), (508.39996337890625, 582.9960327148438, 224.588134765625, 283.29541015625), (507.7781677246094, 584.8218994140625, 226.36746215820312, 285.13836669921875)]"
frame_000009,"[(423.4046936035156, 707.1539916992188), (422.2169189453125, 710.2162780761719), (419.5047149658203, 712.4227905273438), (419.5047149658203, 712.4227905273438), (418.884765625, 714.930908203125), (417.96246337890625, 718.0460815429688), (416.5404357910156, 720.2893371582031), (417.1055145263672, 723.1315002441406), (415.63685607910156, 726.1192321777344), (415.63685607910156, 726.1192321777344)]","[(623.5986022949219, 709.7631530761719), (623.1472778320312, 712.3797302246094), (620.2869720458984, 713.7691040039062), (620.2869720458984, 713.7691040039062), (620.4827728271484, 715.9658203125), (619.2218322753906, 717.9588928222656), (617.8575134277344, 719.8357238769531), (617.6194305419922, 722.4141235351562), (616.6362152099609, 724.2313232421875), (616.6362152099609, 724.2313232421875)]","[(329.12237548828125, 581.2255859375, 188.56463623046875, 251.8568115234375), (326.97613525390625, 583.2600708007812, 190.4815673828125, 253.91241455078125), (324.1379089355469, 585.8744506835938, 190.73361206054688, 253.0966796875), (324.1379089355469, 585.8744506835938, 190.73361206054688, 253.0966796875), (322.383056640625, 587.5521850585938, 193.00341796875, 254.7574462890625), (321.03607177734375, 589.882568359375, 193.852783203125, 256.3270263671875), (319.25921630859375, 592.1700439453125, 194.56243896484375, 256.23858642578125), (320.0360412597656, 594.0588989257812, 194.13894653320312, 258.14520263671875), (317.7880554199219, 597.3305053710938, 195.69760131835938, 257.57745361328125), (317.7880554199219, 597.3305053710938, 195.69760131835938, 257.57745361328125)]","[(512.6880493164062, 567.5316772460938, 221.82110595703125, 284.46295166015625), (510.8836669921875, 569.043212890625, 224.5272216796875, 286.67303466796875), (508.1006774902344, 570.836669921875, 224.37258911132812, 285.8648681640625), (508.1006774902344, 570.836669921875, 224.37258911132812, 285.8648681640625), (506.2378845214844, 572.10400390625, 228.48977661132812, 287.7236328125), (505.12530517578125, 573.5953369140625, 228.19305419921875, 288.72711181640625), (503.10211181640625, 575.4589233398438, 229.51080322265625, 288.75360107421875), (503.5975036621094, 577.3119506835938, 228.04385375976562, 290.204345703125), (501.5939636230469, 579.426513671875, 230.08450317382812, 289.609619140625), (501.5939636230469, 579.426513671875, 230.08450317382812, 289.609619140625)]"
frame_000010,"[(420.97059631347656, 708.4072875976562), (419.38148498535156, 710.9978332519531), (419.38148498535156, 710.9978332519531), (418.0244445800781, 713.2634887695312), (416.92584228515625, 715.9482116699219), (415.5865478515625, 718.7357482910156), (415.30218505859375, 724.1255187988281), (413.338134765625, 724.8267211914062), (413.338134765625, 724.8267211914062), (412.8427276611328, 728.2276611328125)]","[(619.0384521484375, 711.2532653808594), (617.2872772216797, 713.1744079589844), (617.2872772216797, 713.1744079589844), (615.9173583984375, 714.8713989257812), (614.8056030273438, 716.9625854492188), (613.4122009277344, 719.2723693847656), (612.9574584960938, 723.1595458984375), (610.8733673095703, 723.935546875), (610.8733673095703, 723.935546875), (610.9251098632812, 726.2451782226562)]","[(326.0458679199219, 582.1058959960938, 189.84945678710938, 252.602783203125), (324.1545104980469, 584.2147827148438, 190.45394897460938, 253.56610107421875), (324.1545104980469, 584.2147827148438, 190.45394897460938, 253.56610107421875), (322.1748046875, 586.3626708984375, 191.69927978515625, 253.8016357421875), (321.0328369140625, 588.2696533203125, 191.7860107421875, 255.35711669921875), (319.7122497558594, 590.7160034179688, 191.74859619140625, 256.03948974609375), (318.6493835449219, 594.5647583007812, 193.30560302734375, 259.12152099609375), (316.7684631347656, 596.5294189453125, 193.13934326171875, 256.5946044921875), (316.7684631347656, 596.5294189453125, 193.13934326171875, 256.5946044921875), (314.9070739746094, 598.9889526367188, 195.87130737304688, 258.4774169921875)]","[(506.92657470703125, 568.44873046875, 224.2237548828125, 285.60906982421875), (505.0556945800781, 570.0045776367188, 224.46316528320312, 286.33966064453125), (505.0556945800781, 570.0045776367188, 224.46316528320312, 286.33966064453125), (503.03216552734375, 571.6571044921875, 225.7703857421875, 286.4285888671875), (501.8016357421875, 572.9539184570312, 226.0079345703125, 288.017333984375), (500.0577392578125, 574.8511962890625, 226.70892333984375, 288.84234619140625), (499.68310546875, 577.5239868164062, 226.5487060546875, 291.2711181640625), (497.3807067871094, 579.3518676757812, 226.98532104492188, 289.1673583984375), (497.3807067871094, 579.3518676757812, 226.98532104492188, 289.1673583984375), (495.88018798828125, 580.9022827148438, 230.08984375, 290.685791015625)]"
