frame,left_hand,right_hand,left_bbox,right_bbox,text,video_id
frame_000001,"[(679.9997863769531, 775.5009765625), (679.2877807617188, 772.5840454101562), (680.5862731933594, 767.4642333984375), (678.1683959960938, 767.3642578125), (677.7533264160156, 766.8429870605469), (677.7533264160156, 766.8429870605469), (677.4407348632812, 764.4580688476562), (674.9306030273438, 765.1116638183594), (674.3561401367188, 761.58642578125), (675.6211853027344, 760.7283325195312)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(544.9993896484375, 644.0004272460938, 270.00079345703125, 263.0010986328125), (543.2643432617188, 639.7236328125, 272.046875, 265.7208251953125), (544.4917602539062, 634.3923950195312, 272.18902587890625, 266.1436767578125), (540.1763916015625, 632.0704345703125, 275.9840087890625, 270.587646484375), (538.9678955078125, 630.4979858398438, 277.57086181640625, 272.69000244140625), (538.9678955078125, 630.4979858398438, 277.57086181640625, 272.69000244140625), (538.332763671875, 627.3045043945312, 278.2159423828125, 274.30712890625), (533.09326171875, 625.14453125, 283.6746826171875, 279.93426513671875), (531.8369140625, 620.4443969726562, 285.0384521484375, 282.2840576171875), (533.1254272460938, 619.2926635742188, 284.99151611328125, 282.871337890625)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000001
frame_000002,"[(683.455810546875, 764.9664306640625), (682.5004272460938, 762.246826171875), (681.5546264648438, 761.2880554199219), (680.6250305175781, 758.1912536621094), (680.6250305175781, 758.1912536621094), (680.4923400878906, 758.5944213867188), (679.2138977050781, 755.4718627929688), (678.5737915039062, 755.0062255859375), (675.0390930175781, 749.7837219238281), (671.9938659667969, 756.2239990234375)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(558.2183837890625, 642.6013793945312, 250.474853515625, 244.7301025390625), (556.22265625, 638.4656982421875, 252.5555419921875, 247.562255859375), (554.0640869140625, 636.1738891601562, 254.9810791015625, 250.22833251953125), (552.5654296875, 632.5172729492188, 256.11920166015625, 251.34796142578125), (552.5654296875, 632.5172729492188, 256.11920166015625, 251.34796142578125), (551.6905517578125, 631.5089721679688, 257.60357666015625, 254.1708984375), (548.9432983398438, 626.703369140625, 260.54119873046875, 257.5369873046875), (547.5266723632812, 624.9293823242188, 262.09423828125, 260.1536865234375), (543.3507080078125, 620.5916748046875, 263.37677001953125, 258.38409423828125), (537.7840576171875, 623.2801513671875, 268.41961669921875, 265.8876953125)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000002
frame_000003,"[(698.8114013671875, 748.452392578125), (696.7491760253906, 747.5493774414062), (696.3318481445312, 745.41748046875), (696.3318481445312, 745.41748046875), (695.1311645507812, 746.3719482421875), (695.2130737304688, 740.9284362792969), (693.7001037597656, 742.8608703613281), (691.4292602539062, 740.6431884765625), (692.1783142089844, 746.9783630371094), (692.1783142089844, 746.9783630371094)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(566.0272827148438, 618.7537841796875, 265.5682373046875, 259.397216796875), (562.2728271484375, 615.9710693359375, 268.95269775390625, 263.1566162109375), (561.3529663085938, 613.3126831054688, 269.957763671875, 264.2095947265625), (561.3529663085938, 613.3126831054688, 269.957763671875, 264.2095947265625), (558.816162109375, 612.472900390625, 272.6300048828125, 267.798095703125), (558.0993041992188, 605.8233032226562, 274.2275390625, 270.21026611328125), (554.7650756835938, 605.6846313476562, 277.87005615234375, 274.35247802734375), (551.24560546875, 602.2059326171875, 280.3673095703125, 276.87451171875), (552.1768798828125, 607.6766357421875, 280.00286865234375, 278.60345458984375), (552.1768798828125, 607.6766357421875, 280.00286865234375, 278.60345458984375)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000003
frame_000004,"[(697.2668151855469, 746.0011901855469), (696.6241149902344, 744.355712890625), (696.6241149902344, 744.355712890625), (695.0106506347656, 743.4586791992188), (694.9127197265625, 741.8348999023438), (693.2426452636719, 734.4115600585938), (694.756591796875, 739.9036560058594), (692.63330078125, 743.6251831054688), (692.63330078125, 743.6251831054688), (692.9525756835938, 744.1836547851562)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(555.8187866210938, 607.8538818359375, 282.89605712890625, 276.29461669921875), (554.4683837890625, 605.421142578125, 284.31146240234375, 277.869140625), (554.4683837890625, 605.421142578125, 284.31146240234375, 277.869140625), (551.3350219726562, 602.8759155273438, 287.35125732421875, 281.16552734375), (549.844970703125, 599.1135864257812, 290.135498046875, 285.442626953125), (547.3975219726562, 592.489990234375, 291.69024658203125, 283.8431396484375), (548.6675415039062, 595.4089965820312, 292.1781005859375, 288.98931884765625), (544.9781494140625, 597.323486328125, 295.310302734375, 292.6033935546875), (544.9781494140625, 597.323486328125, 295.310302734375, 292.6033935546875), (545.7214965820312, 598.6288452148438, 294.462158203125, 291.109619140625)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000004
frame_000005,"[(701.1975708007812, 742.4429016113281), (701.1975708007812, 742.4429016113281), (698.5520324707031, 742.5057067871094), (699.0563354492188, 739.2626342773438), (698.8059387207031, 738.5152282714844), (695.4385986328125, 742.5019836425781), (696.2724914550781, 743.3072814941406), (696.2724914550781, 743.3072814941406), (696.3192749023438, 748.3380432128906), (692.8652038574219, 757.7611999511719)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(554.8463134765625, 599.45263671875, 292.7025146484375, 285.98052978515625), (554.8463134765625, 599.45263671875, 292.7025146484375, 285.98052978515625), (550.2996215820312, 597.5067749023438, 296.50482177734375, 289.99786376953125), (549.8917846679688, 593.054443359375, 298.3291015625, 292.4163818359375), (548.2556762695312, 590.133056640625, 301.10052490234375, 296.76434326171875), (542.8833618164062, 591.8447875976562, 305.1104736328125, 301.31439208984375), (543.6447143554688, 592.05126953125, 305.25555419921875, 302.51202392578125), (543.6447143554688, 592.05126953125, 305.25555419921875, 302.51202392578125), (543.0029907226562, 595.875244140625, 306.632568359375, 304.92559814453125), (537.8689575195312, 604.28857421875, 309.99249267578125, 306.94525146484375)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000005
frame_000006,"[(700.0, 741.0), (699.6375427246094, 739.7657470703125), (698.0939025878906, 739.1417846679688), (697.2825317382812, 737.9314270019531), (696.4163513183594, 738.0690612792969), (695.5588073730469, 740.4198608398438), (695.5588073730469, 740.4198608398438), (695.1318359375, 740.8902587890625), (694.9815673828125, 754.8863220214844), (692.1168823242188, 762.0863037109375)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(551.0, 596.0, 298.0, 290.0), (549.8245849609375, 593.6865234375, 299.62591552734375, 292.158447265625), (545.8367919921875, 590.2288818359375, 304.51422119140625, 297.8258056640625), (543.7305297851562, 587.1866455078125, 307.10400390625, 301.48956298828125), (542.171142578125, 586.4888305664062, 308.49041748046875, 303.16046142578125), (540.5784912109375, 587.6879272460938, 309.96063232421875, 305.4638671875), (540.5784912109375, 587.6879272460938, 309.96063232421875, 305.4638671875), (540.6248168945312, 589.322509765625, 309.0140380859375, 303.135498046875), (537.672607421875, 599.0944213867188, 314.617919921875, 311.58380126953125), (533.9412841796875, 603.7627563476562, 316.3511962890625, 316.6470947265625)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000006
frame_000007,"[(702.6414184570312, 741.7811584472656), (701.087158203125, 741.2097473144531), (700.2650756835938, 740.0348205566406), (699.3970642089844, 740.1859436035156), (698.5437622070312, 742.559326171875), (698.5437622070312, 742.559326171875), (698.1117858886719, 743.0052795410156), (697.9933471679688, 757.0938110351562), (695.1388244628906, 764.3370971679688), (693.9957885742188, 763.69091796875)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(549.8106079101562, 592.6834716796875, 305.66162109375, 298.19537353515625), (545.763671875, 589.2178955078125, 310.64697265625, 303.98370361328125), (543.6162109375, 586.1747436523438, 313.2977294921875, 307.72015380859375), (542.03955078125, 585.4750366210938, 314.71502685546875, 309.42181396484375), (540.4375, 586.6712646484375, 316.2125244140625, 311.776123046875), (540.4375, 586.6712646484375, 316.2125244140625, 311.776123046875), (540.4862060546875, 588.3137817382812, 315.25115966796875, 309.38299560546875), (537.5093383789062, 598.070556640625, 320.968017578125, 318.0465087890625), (533.768310546875, 602.7261962890625, 322.74102783203125, 323.2218017578125), (533.4172973632812, 604.2971801757812, 321.156982421875, 318.7874755859375)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000007
frame_000008,"[(698.9380493164062, 738.5033569335938), (697.9371948242188, 738.5474548339844), (697.7622985839844, 735.3108825683594), (696.2283630371094, 742.5346374511719), (696.2283630371094, 742.5346374511719), (695.7775268554688, 747.2420349121094), (693.8360290527344, 757.6925048828125), (692.2124633789062, 760.2693786621094), (691.2443237304688, 763.5302124023438), (691.6981506347656, 762.6756896972656)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(544.96484375, 588.1964111328125, 307.9464111328125, 300.6138916015625), (542.29443359375, 585.900634765625, 311.2855224609375, 305.29364013671875), (542.295166015625, 583.2088012695312, 310.93426513671875, 304.20416259765625), (539.0587768554688, 587.3219604492188, 314.33917236328125, 310.42535400390625), (539.0587768554688, 587.3219604492188, 314.33917236328125, 310.42535400390625), (537.4376831054688, 590.55908203125, 316.6796875, 313.36590576171875), (534.5169067382812, 599.932861328125, 318.63824462890625, 315.519287109375), (532.6652221679688, 602.5382080078125, 319.094482421875, 315.46234130859375), (531.4178466796875, 605.7631225585938, 319.6529541015625, 315.5341796875), (532.1077270507812, 604.8333740234375, 319.18084716796875, 315.68463134765625)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000008
frame_000009,"[(701.9124755859375, 739.1805114746094), (697.8358154296875, 742.0668640136719), (699.5457153320312, 744.1781005859375), (699.5457153320312, 744.1781005859375), (695.9801940917969, 752.1728515625), (695.3206787109375, 758.4257507324219), (693.4298095703125, 763.5420227050781), (693.1349792480469, 766.6626281738281), (690.4341735839844, 754.6680297851562), (690.4341735839844, 754.6680297851562)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(546.2865600585938, 586.6974487304688, 311.2518310546875, 304.96612548828125), (540.1099243164062, 587.4819946289062, 315.4517822265625, 309.16973876953125), (541.691162109375, 588.54150390625, 315.7091064453125, 311.273193359375), (541.691162109375, 588.54150390625, 315.7091064453125, 311.273193359375), (536.4854736328125, 594.149169921875, 318.98944091796875, 316.04736328125), (535.2403564453125, 600.845703125, 320.16064453125, 315.16009521484375), (532.5435180664062, 604.5213623046875, 321.7725830078125, 318.04132080078125), (531.5283813476562, 606.2886962890625, 323.21319580078125, 320.74786376953125), (531.5830688476562, 601.4396362304688, 317.70220947265625, 306.456787109375), (531.5830688476562, 601.4396362304688, 317.70220947265625, 306.456787109375)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000009
frame_000010,"[(703.3699035644531, 745.7945251464844), (702.2373962402344, 748.4279174804688), (702.2373962402344, 748.4279174804688), (700.8025817871094, 755.103271484375), (699.77587890625, 763.2106018066406), (698.5574951171875, 766.2845764160156), (698.9118957519531, 772.5685729980469), (697.4307556152344, 771.0083312988281), (697.4307556152344, 771.0083312988281), (692.5311584472656, 752.2029724121094)]","[10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000]","[(544.6248779296875, 590.7427368164062, 317.49005126953125, 310.10357666015625), (542.8680419921875, 592.4099731445312, 318.73870849609375, 312.035888671875), (542.8680419921875, 592.4099731445312, 318.73870849609375, 312.035888671875), (539.8436279296875, 596.6156005859375, 321.91790771484375, 316.975341796875), (537.9354248046875, 604.4380493164062, 323.680908203125, 317.54510498046875), (536.5475463867188, 606.868408203125, 324.0198974609375, 318.83233642578125), (534.9921875, 609.962158203125, 327.83941650390625, 325.21282958984375), (534.74169921875, 610.4810180664062, 325.37811279296875, 321.05462646484375), (534.74169921875, 610.4810180664062, 325.37811279296875, 321.05462646484375), (533.0422973632812, 601.5740966796875, 318.97772216796875, 301.25775146484375)]","[(10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000), (10000, 10000, 10000, 10000)]",identify wound,P05_01/frame_000010
